@timestamp,deviceId,@message
2025-05-22 15:38:43.102,10045817,"2025-05-22T15:38:43.102Z	b5a1de8d-be27-41fb-b07a-a74dda65b266	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""deviceId"":""10045817"",""routes"":{""1747925482"":{""from"":{""latitude"":38.1161,""longitude"":-121.397422},""to"":{""latitude"":38.01004,""longitude"":-121.741653},""start_time"":1747925482000,""end_time"":1747928148000}}}},""metadata"":{""id"":""853781e5-b141-41f0-b540-8d2d8d27a104"",""sev"":""INFO"",""ts"":1747928323101,""src"":""log source""}}
"
2025-05-22 15:12:24.861,prod-sts-amzTestProvisioningDevice_569e2911-98df-415e-9ac5-a117903e9ad0,"2025-05-22T15:12:24.861Z	719f553e-b1e4-40af-b0b7-a73fa7d0274e	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""deviceId"":""prod-sts-amzTestProvisioningDevice_569e2911-98df-415e-9ac5-a117903e9ad0"",""routes"":{""valid-aefc50df-a9c3-44fc-8da8-5903187fc393"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747926744792"",""end_time"":""1747930344792""},""invalid1-028be61f-9598-465f-acdb-bc3998533f56"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747933944792"",""end_time"":""1747937544792""},""invalid2-80e47e08-b7de-40b1-85cc-381c48fbb330"":{""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747941144792"",""end_time"":""1747944744792""},""invalid3-a5b9bea1-b1e8-4bf1-9d3a-abaf2f0fb2b9"":{""start_time"":""1747948344792"",""end_time"":""1747951944792""}}}},""metadata"":{""id"":""b8844507-1bc8-4bab-b959-3c5fc8c80742"",""sev"":""INFO"",""ts"":1747926744861,""src"":""log source""}}
"
2025-05-22 15:12:17.464,prod-sts-amzTestProvisioningDevice_19cfbe72-3346-4d54-865f-ea6cab1b24d7,"2025-05-22T15:12:17.464Z	dcb4dc11-7809-4175-a09a-2bf34bbb378c	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""deviceId"":""prod-sts-amzTestProvisioningDevice_19cfbe72-3346-4d54-865f-ea6cab1b24d7"",""routes"":{""c2c7b0cd-b497-48c5-ad5d-bf3543f8ad14"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747926736864"",""end_time"":""1747930336864""},""b5df58e1-148c-4154-ab14-ee6f211f3413"":{""from"":{""latitude"":42.278046,""longitude"":-83.741022},""to"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747933936864"",""end_time"":""1747937536864""},""3812f8f0-b905-4a88-8413-a2c12211ce36"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747941136864"",""end_time"":""1747944736864""}}}},""metadata"":{""id"":""a0cf528c-aed0-44c3-8a06-085385c2234e"",""sev"":""INFO"",""ts"":1747926737464,""src"":""log source""}}
"
2025-05-22 14:51:50.770,10045817,"2025-05-22T14:51:50.770Z	0b532613-f96f-492d-a0ad-58a55f7411d3	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""deviceId"":""10045817"",""routes"":{""1747871219"":{""from"":{""latitude"":37.802341,""longitude"":-121.290786},""to"":{""latitude"":38.078289,""longitude"":-121.37873},""start_time"":1747871219000,""end_time"":1747925243000}}}},""metadata"":{""id"":""63fa912f-6c78-4ab3-a446-753fa42a6372"",""sev"":""INFO"",""ts"":1747925510770,""src"":""log source""}}
"
2025-05-22 09:35:46.754,,"2025-05-22T09:35:46.754Z	97d2fcd2-3f5c-4636-8dee-be62e1e8026f	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747905377"":{""from"":{""latitude"":37.997798,""longitude"":-121.793418},""to"":{""latitude"":38.019641,""longitude"":-121.92488},""start_time"":1747905377000,""end_time"":1747905836000}}}},""metadata"":{""id"":""876a3501-91ae-4342-b7b6-e99f36995212"",""sev"":""INFO"",""ts"":1747906546753,""src"":""log source""}}
"
2025-05-22 07:18:46.362,,"2025-05-22T07:18:46.362Z	60722e6c-4743-45c0-bf0e-f249d4457480	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747897370"":{""from"":{""latitude"":37.490898,""longitude"":-121.207443},""to"":{""latitude"":37.59967,""longitude"":-121.344566},""start_time"":1747897370000,""end_time"":1747898018000}}}},""metadata"":{""id"":""2ef378f9-4ead-4ba8-9116-09a0074ef2a8"",""sev"":""INFO"",""ts"":1747898326362,""src"":""log source""}}
"
2025-05-21 21:37:25.905,,"2025-05-21T21:37:25.905Z	ef1c2ab7-ba88-4b74-9247-381d759b6f82	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""valid-9ab840d0-0e8e-4c4f-8b63-963fea08b93b"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747863445828"",""end_time"":""1747867045828""},""invalid1-b9dfe9bd-9560-4964-85d0-78e91d158428"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747870645828"",""end_time"":""1747874245828""},""invalid2-ce4a0291-2f9c-4295-bf2c-168fcf728b91"":{""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747877845828"",""end_time"":""1747881445828""},""invalid3-74183e30-12cf-4527-9010-e807b2be16ec"":{""start_time"":""1747885045828"",""end_time"":""1747888645828""}}}},""metadata"":{""id"":""dca61342-4f5e-42ad-a9f0-4ba35f83cba3"",""sev"":""INFO"",""ts"":1747863445905,""src"":""log source""}}
"
2025-05-21 21:37:18.372,,"2025-05-21T21:37:18.372Z	98e21e29-00a5-4f42-8db8-db834bf8085a	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""e67e5911-9511-4418-83c0-4637f28c221f"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747863437794"",""end_time"":""1747867037794""},""15ec7615-9ee9-4e26-ac1b-bff1a3a9252c"":{""from"":{""latitude"":42.278046,""longitude"":-83.741022},""to"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747870637794"",""end_time"":""1747874237794""},""6a224234-9261-4b14-8843-9f2ec0ffafd9"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747877837794"",""end_time"":""1747881437794""}}}},""metadata"":{""id"":""7c0b425c-e8eb-4188-abcc-518babe138af"",""sev"":""INFO"",""ts"":1747863438371,""src"":""log source""}}
"
2025-05-21 20:03:41.956,,"2025-05-21T20:03:41.956Z	6d5b49b6-c166-42c0-a67b-d7f9131a38b0	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""1747856745"":{""from"":{""latitude"":38.314609,""longitude"":-122.033149},""to"":{""latitude"":38.472888,""longitude"":-121.823547},""start_time"":1747856745000,""end_time"":1747857720000}}}},""metadata"":{""id"":""06767b7f-e91e-4ea7-a634-92342ca80611"",""sev"":""INFO"",""ts"":1747857821956,""src"":""log source""}}
"
2025-05-21 18:57:51.203,,"2025-05-21T18:57:51.203Z	f7d9251e-3808-412b-bd49-2462d5b91319	INFO	{""message"":""[INFO] Calculate Route lambda called with event:"",""data"":{""event"":{""routes"":{""valid-379233e0-8e7e-4349-b6b7-703b856fce7f"":{""from"":{""latitude"":42.331429,""longitude"":-83.045753},""to"":{""latitude"":42.278046,""longitude"":-83.741022},""start_time"":""1747853871133"",""end_time"":""1747857471133""},""invalid1-99f924d0-7138-45d0-b035-4e185805e6d0"":{""from"":{""latitude"":42.963795,""longitude"":-85.670006},""start_time"":""1747861071133"",""end_time"":""1747864671133""},""invalid2-15aaedc2-7fc9-43fe-b219-1ed550ea9aa0"":{""to"":{""latitude"":42.734552,""longitude"":-84.48397},""start_time"":""1747868271133"",""end_time"":""1747871871133""},""invalid3-7acb15ab-9f0c-44d7-968c-8a36138d50fb"":{""start_time"":""1747875471133"",""end_time"":""1747879071133""}}}},""metadata"":{""id"":""46d3b702-4d88-46cc-bade-f03844341380"",""sev"":""INFO"",""ts"":1747853871203,""src"":""log source""}}
"
